 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0743-006 $        07 45 54.082310 -00 44 17.53849 0.000009 0.00020  -0.448 48081.9 46975.0 48976.0     14    94    94     2
 0743+259 $        07 46 25.874181  25 49  2.13555 0.000026 0.00040  -0.830 47812.1 47406.0 48370.0      7    17    17     2
 0745+241 $        07 48 36.109279  24 00 24.11079 0.000004 0.00007  -0.085 48258.5 47473.0 49032.0    106   566   566     1
 0748+126 $        07 50 52.045736  12 31  4.82943 0.000010 0.00025   0.120 47562.7 44772.0 49021.0      6    64    64     1
 0749+540 $        07 53  1.384592  53 52 59.63747 0.000011 0.00015   0.155 48384.4 45774.0 49120.0     12    81    81     1
 0754+100 $        07 57  6.642929  09 56 34.85263 0.000009 0.00016  -0.290 47772.3 46501.0 49253.0     10    86    86     1
 0805-077 $        08 08 15.536026 -07 51  9.88524 0.000004 0.00010  -0.528 48562.1 47175.0 49032.0     22    73    73     2
 0804+499 $        08 08 39.666290  49 50 36.53097 0.000005 0.00005   0.074 48780.9 47164.0 49366.0     13   935   935     1
 0805+410 $        08 08 56.652053  40 52 44.88942 0.000005 0.00008   0.030 49147.4 48719.0 49322.0      5   244   244     1
 0808+019 $        08 11 26.707315  01 46 52.22123 0.000005 0.00014  -0.480 48593.3 46976.0 49183.0     18   105   105     2
 0812+367 $        08 15 25.944848  36 35 15.14879 0.000017 0.00030   0.205 47590.8 45774.0 49120.0      5    65    65     2
 0814+425 $        08 18 15.999624  42 22 45.41547 0.000005 0.00006  -0.040 48143.0 45137.0 49365.0    116  1145  1145     1
 0818-128 $        08 20 57.447574 -12 58 59.16731 0.000056 0.00035   0.000 47511.0 47511.0 47511.0      1    15    15     3
 0820+560 $        08 24 47.236378  55 52 42.66993 0.000007 0.00006  -0.023 48646.3 46976.0 49366.0     15   527   527     1
 0821+394 $        08 24 55.483857  39 16 41.90478 0.000013 0.00017   0.275 48490.4 48193.0 49267.0      8    93    93     1
 0823+033 $        08 25 50.338357  03 09 24.52106 0.000001 0.00005  -0.060 48669.3 45465.0 49366.0    227  4635  4635     1
 0823-223 $        08 26  1.573012 -22 30 27.20288 0.000073 0.00162  -0.588 47022.0 46874.0 47170.0      2    12    12     2
 0827+243 $        08 30 52.086185  24 10 59.82116 0.000009 0.00014  -0.482 47877.1 47022.0 49252.0     12   116   116     1
 0829+046 $        08 31 48.876958  04 29 39.08640 0.000014 0.00036   0.115 48964.7 48648.0 49183.0      3    46    46     2
 0828+493 $        08 32 23.216704  49 13 21.03862 0.000011 0.00019   0.124 48353.3 47022.0 49253.0     15   117   117     2
 0831+557 $        08 34 54.904040  55 34 21.07144 0.000065 0.00045   0.131 48586.6 47930.0 49175.0      7    68    68     2
 0834-201 $        08 36 39.215306 -20 16 59.50295 0.000037 0.00093  -0.476 47004.5 46839.0 47170.0      2    20    20     2
 0833+585 $        08 37 22.409734  58 25  1.84547 0.000029 0.00020   0.191 48248.1 46976.0 49120.0     11    67    67     1
 0836+710 $        08 41 24.365277  70 53 42.17379 0.000029 0.00017   0.245 48050.0 46976.0 49295.0      6    95    95     1
 0839+187 $        08 42  5.094188  18 35 40.99114 0.000015 0.00029   0.348 48668.8 48021.0 49267.0      6   103   103     1
 0850+581 $        08 54 41.996423  57 57 29.93880 0.000097 0.00083   0.000 48719.0 48719.0 48719.0      1    15    15     3
 0851+202 OJ287    08 54 48.874931  20 06 30.64149 0.000001 0.00004   0.015 47666.4 44202.0 49405.0   1518 44566 44566     1
 0859-140 $        09 02 16.830883 -14 15 30.87396 0.000009 0.00015  -0.702 48584.1 46874.0 49032.0     15    44    44     2
 0859+470 $        09 03  3.990117  46 51  4.13780 0.000006 0.00009   0.057 48236.2 47004.0 49175.0     99   396   396     1
