Name,Cal Tag,RA,Dec
J123943-102328,radec gaincal,12:39:43.040,-10:23:28.600
J124312-211212,radec gaincal,12:43:12.240,-21:12:12.700
PKS1244-255 | J124646-254748,radec gaincal,12:46:46.80,-25:47:49.29
PKS1245-197 | J124823-195918,radec gaincal,12:48:23.90,-19:59:18.59
1254+116,radec gaincal,12:54:38.256,11:41:05.89
3C279,radec gaincal,12:56:11.17,-05:47:21.52
J125720-333437,radec gaincal,12:57:20.710,-33:34:41.300
PKS1255-316 | J125758-315516,radec gaincal,12:57:59.06,-31:55:16.85
J130100-322629,radec gaincal,13:01:00.530,-32:26:27.800
J130949-001236,radec gaincal,13:09:49.660,-00:12:36.600
1311-222 | 3C283,radec gaincal,13:11:39.3347,-22:16:41.748
PKS1313-333,radec gaincal,13:16:07.97,-33:38:59.17
TYPO ?,radec gaincal,13:18:30.064,-46:20:34.90
J132738-020311,radec gaincal,13:27:38.260,-02:03:11.200
J133007-214204,radec gaincal,13:30:07.180,-21:42:4.500
PKSJ1330+2509 | 3C287,radec gaincal,13:30:37.69,+25:09:10.9
3C286,radec polcal,13:31:08.29,30:30:33.0
J133231-255949,radec gaincal,13:32:31.950,-25:59:49.900
1329-665,radec gaincal,13:32:37.53,-66:46:50.35
J133739-125724 | 1334-127,radec gaincal,13:37:39.830,-12:57:24.600
J133808-062711,radec gaincal,13:38:08.070,-06:27:11.200
J134354-373353,radec gaincal,13:43:54.500,-37:33:53.500
J134503-314012,radec gaincal,13:45:03.890,-31:40:15.100
J134537-005706,radec gaincal,13:45:37.400,-00:57:06.900
PKS1343-300,radec gaincal,13:45:51.51,-30:15:04.54
B1345+125,radec gaincal,13:47:33.361668,12:17:24.2383460
PKS1349-145,radec gaincal,13:51:53.00,-14:49:15
1353-59,radec gaincal,13:53:41.8,-59:37:28.3
1352-63,radec gaincal,13:55:46.63,-63:26:42.62
PKS1353-341,radec gaincal,13:56:05.38,-34:21:10.82
J135702-140542,radec gaincal,13:57:02.140,-14:05:42.500
J140649-015417,radec gaincal,14:06:49.110,-01:54:17.000
J141348-055954,radec gaincal,14:13:48.340,-05:59:54.200
3C298,radec gaincal,14:19:08.180173,  06:28:34.803490
J141949-192835,radec gaincal,14:19:49.650,-19:28:35.100
J142336-181613,radec gaincal,14:23:36.280,-18:16:13.700
1421-490 | J142432-491350,radec gaincal,14:24:32.23734,-49:13:49.7437
J142558-175642,radec gaincal,14:25:58.030,-17:56:42.200
J142756-420618 | 1424-418,radec gaincal,14:27:56.220,-42:06:18.600
J143257-180134,radec gaincal,14:32:57.770,-18:01:34.200
J145423-192505,radec gaincal,14:54:23.430,-19:25:05.400
PKS1454-400 | J145432-401232,radec gaincal,14:54:32.91,-40:12:32.51
J145915-365548,radec gaincal,14:59:15.810,-36:55:47.600
PKS1504-166,radec gaincal,15:07:04.79,-16:52:30.27
J1510-0543,radec gaincal,15:10:53.59,-05:43:07.4
J151155-304503,radec gaincal,15:11:55.740,-30:45:03.000
J151250-090600,radec gaincal,15:12:50.540,-09:06:00.900
PKSJ1517-2422,radec gaincal,15:17:41.90,-24:22:19.5
J152237-273010,radec gaincal,15:22:37.710,-27:30:10.500
J153353-333711,radec gaincal,15:33:53.410,-33:37:13.000
J154402-335228,radec gaincal,15:44:02.880,-33:52:30.700
J154403-133056,radec gaincal,15:44:03.080,-13:30:56.400
1549+214,radec gaincal,15:49:49.02,+21:25:38.86
J155035+052710,radec gaincal,15:50:35.260,+05:27:10.600
PKSJ1557-7913 | 1549-790,radec gaincal,15:56:58.87,-79:14:04.3
PKS1600-48,radec gaincal,16:03:50.69,-49:04:05.74
1600-44,radec gaincal,16:04:31.02,-44:41:31.97
J160502-173415,radec gaincal,16:05:02.120,-17:34:15.900
J160512-285908,radec gaincal,16:05:12.500,-28:59:8.400
CTD93,radec gaincal,16:09:13.320853,+26:41:29.0378
J161317-213407,radec gaincal,16:13:17.390,-21:34:7.100
PKS1611+343,radec gaincal,16:13:41.06,+34:12:47.90
1613-586,radec gaincal,16:17:17.88951,-58:48:07.8604
PKS1610-771,radec gaincal,16:17:49.28,-77:17:18.46
PKS1607-841,radec gaincal,16:19:33.97,-84:18:19.10
J162019-111332,radec gaincal,16:20:19.800,-11:13:32.300
J162100-234203,radec gaincal,16:21:00.120,-23:42:3.700
PKS1621-115,radec gaincal,16:23:59.52,-11:40:43.79
J162418-680911,radec gaincal,16:24:18.520,-68:09:11.400
J162546-252739,radec gaincal,16:25:46.930,-25:27:39.100
J164349-152623,radec gaincal,16:43:49.150,-15:26:23.600
PKS1643-223,radec gaincal,16:46:05.0,-22:27:60
3C348 | HercA,radec gaincal,16:51:08.15,+04:59:33.3
J170241-774158,radec gaincal,17:02:41.410,-77:41:58.100
J170541-321924,radec gaincal,17:05:41.500,-32:19:24.800
PKS1706+006,radec gaincal,17:08:44.65,+00:35:09.500
1709-281 | J171257-280935,radec gaincal,17:12:57.0055,-28:09:33.056
J1713-2658,radec gaincal,17:13:31.2756,-26:58:52.523
J171350-322612,radec gaincal,17:13:50.810,-32:26:12.800
J1720-358 | NGC6334B | 1717-358,radec gaincal,17:20:21.8042,-35:52:47.708
3C353 | J1720-0058,radec gaincal,17:20:28.15,-00:58:46.8
PKS1718-649 | J172341-650036,radec gaincal,17:23:41.03,-65:00:36.61
1722-55 | J172649-552938,radec gaincal,17:26:49.615,-55:29:40.60
PKS1730-130 | NRAO530 | J1733-1304,radec gaincal,17:33:02.705790,-13:04:49.548230
PKS1732+094,radec gaincal,17:34:58,+09:26:58
J173508-091638,radec gaincal,17:35:08.320,-09:16:38.300
B1733-565,radec gaincal,17:37:35.79,-56:34:03.2
J1744-5144 | 1740-517,radec gaincal,17:44:25.450619,-51:44:43.79199
J174527-075304,radec gaincal,17:45:27.100,-7:53:4.000
PKS1742-289,radec gaincal,17:45:40,-29:00:28
J175841-161645,radec gaincal,17:58:41.680,-16:16:45.100
J175906-594658,radec gaincal,17:59:06.260,-59:46:58.900
J180242-394005,radec gaincal,18:02:42.730,-39:40:5.800
J180249-020740,radec gaincal,18:02:49.880,-02:07:40.300
J1818-5158,radec gaincal,18:18:06,-51:58:09
1818-111,radec gaincal,18:18:19.32,-11:08:48.3
J181935-634548 | 1814-637,radec gaincal,18:19:35.040,-63:45:48.600
J182035-390929,radec gaincal,18:20:35.460,-39:09:28.800
J182228-093857 | 1819-096,radec gaincal,18:22:28.700,-09:38:57.100
J182319-272627,radec gaincal,18:23:19.550,-27:26:27.600
J182457-324259,radec gaincal,18:24:57.340,-32:42:59.600
PKSJ1830-3602 | J1830-3602 | 1827-360,radec gaincal,18:30:58.88,-36:02:30.1
J183333-103405,radec gaincal,18:33:33.460,-10:34:5.500
PKSJ1833-2103 | 1830-210,radec gaincal,18:33:39.91,-21:03:40.1
PKS1829-718,radec gaincal,18:35:37.204,-71:49:58.22
J183728-710843,radec gaincal,18:37:28.450,-71:08:43.900
3C391,radec gaincal,18:49:22.40,-00:55:21.00
J185710-301945,radec gaincal,18:57:10.620,-30:19:41.300
J190239-270547,radec gaincal,19:02:39.130,-27:05:47.400
J190249-232952,radec gaincal,19:02:49.320,-23:29:52.600
