#,SRC,Cal Tag,RA,Dec
312,J171257-280935,radec gaincal,17:12:57.300,-28:09:35.800
313,J1713-2658,radec gaincal,17:13:31.2756,-26:58:52.523
314,J171350-322612,radec gaincal,17:13:50.810,-32:26:12.800
315,J1720-358,radec gaincal,17:20:21.8042,-35:52:47.708
316,J1722-55,radec gaincal,17:26:49.615,-55:29:40.60
317,J172341-650036,radec gaincal,17:23:41.060,-65:00:36.100
318,J1726-5529,radec gaincal,17:26:49.62,-55:29:40.5
319,J172649-552938,radec gaincal,17:26:49.700,-55:29:38.000
320,J173302-130449,radec gaincal,17:33:02.660,-13:04:49.100
321,J173508-091638,radec gaincal,17:35:08.320,-9:16:38.300
322,J1744-5144,radec gaincal,17:44:25.450619,-51:44:43.79199
323,J174425-514443,radec gaincal,17:44:25.470,-51:44:43.100
324,J174527-075304,radec gaincal,17:45:27.100,-7:53:4.000
325,J175841-161645,radec gaincal,17:58:41.680,-16:16:45.100
326,J175906-594658,radec gaincal,17:59:06.260,-59:46:58.900
327,J180242-394005,radec gaincal,18:02:42.730,-39:40:5.800
328,J180249-020740,radec gaincal,18:02:49.880,-2:07:40.300
329,J1818-5158,radec gaincal,18:18:06,-51:58:09
330,J181935-634548,radec gaincal,18:19:35.040,-63:45:48.600
331,J182035-390929,radec gaincal,18:20:35.460,-39:09:28.800
332,J182228-093857,radec gaincal,18:22:28.700,-9:38:57.100
333,J182319-272627,radec gaincal,18:23:19.550,-27:26:27.600
334,J182457-324259,radec gaincal,18:24:57.340,-32:42:59.600
335,J1830-3602,radec gaincal,18:30:57,-36:02:28
336,J183058-360230,radec gaincal,18:30:58.970,-36:02:31.700
337,J183333-103405,radec gaincal,18:33:33.460,-10:34:5.500
338,J183728-710843,radec gaincal,18:37:28.450,-71:08:43.900
339,J185710-301945,radec gaincal,18:57:10.620,-30:19:41.300
340,J190239-270547,radec gaincal,19:02:39.130,-27:05:47.400
341,J190249-232952,radec gaincal,19:02:49.320,-23:29:52.600
342,J1910+052,radec gaincal,19:12:54.3036,+05:18:01.002
343,J191109-200655,radec gaincal,19:11:09.690,-20:06:55.500
344,J191157-054820,radec gaincal,19:11:57.490,-5:48:20.200
345,J191239-801006,radec gaincal,19:12:39.850,-80:10:6.800
346,J192155-352639,radec gaincal,19:21:55.210,-35:26:41.500
347,J1922+0841,radec gaincal,19:22:18.63365,+08:41:57.3733
348,J192330-074137,radec gaincal,19:23:30.820,-7:41:37.100
349,J192332-210433,radec gaincal,19:23:32.200,-21:04:33.700
350,J192451-291431,radec gaincal,19:24:51.110,-29:14:31.000
351,J193135-140559,radec gaincal,19:31:35.560,-14:05:59.500
352,J193557-462043,radec gaincal,19:35:57.150,-46:20:43.100
353,J193654-002157,radec gaincal,19:36:54.100,-0:21:57.900
354,J194013-225955,radec gaincal,19:40:13.690,-22:59:55.000
355,J194114-152431,radec gaincal,19:41:14.970,-15:24:31.300
356,J195123-273720,radec gaincal,19:51:23.260,-27:37:20.500
357,J195759-384505,radec gaincal,19:57:59.800,-38:45:7.000
358,J200756-101638,radec gaincal,20:07:56.810,-10:16:38.400
359,J200925-484953,radec gaincal,20:09:25.100,-48:49:53.900
360,J201427+233452,radec gaincal,20:14:27.580,+23:34:52.900
361,J202807-152120,radec gaincal,20:28:07.230,-15:21:20.900
362,J203316-225320,radec gaincal,20:33:16.600,-22:53:20.900
363,J203547-345403,radec gaincal,20:35:47.610,-34:54:1.100
364,J2040-5735,radec gaincal,20:40:01.1,-57:35:09.65
365,J205616-471448,radec gaincal,20:56:16.220,-47:14:48.100
366,J210336-274920,radec gaincal,21:03:36.230,-27:49:20.700
367,J2107-2526,radec gaincal,21:07:21,-25:26:48
368,J210933-411021,radec gaincal,21:09:33.120,-41:10:21.200
369,J211001-102058,radec gaincal,21:10:01.030,-10:20:58.100
370,J211440-254148,radec gaincal,21:14:40.120,-25:41:48.700
371,J211636-205551,radec gaincal,21:16:36.300,-20:55:51.900
372,J211810-301916,radec gaincal,21:18:10.690,-30:19:15.100
373,J212344+250410,radec gaincal,21:23:44.590,+25:04:10.800
374,J212921-182122,radec gaincal,21:29:21.410,-18:21:22.900
375,J2131-2036,radec gaincal,21:31:01,-20:36:56
376,J213101-203656,radec gaincal,21:31:01.520,-20:36:56.100
377,J213135-120706,radec gaincal,21:31:35.260,-12:07:6.200
378,J213410-015317,radec gaincal,21:34:10.310,-1:53:17.000
380,J213638+004154,radec gaincal,21:36:38.570,+0:41:54.500
381,J213713-275457,radec gaincal,21:37:13.530,-27:54:57.000
382,J2138-4646,radec gaincal,21:38:01,-46:46:40
383,J214703-174011,radec gaincal,21:47:03.280,-17:40:11.000
384,J214805+065739,radec gaincal,21:48:05.480,+6:57:39.400
385,J215151-194606,radec gaincal,21:51:51.000,-19:46:6.000
386,J215155-302754,radec gaincal,21:51:55.540,-30:27:53.600
387,J215203-282829,radec gaincal,21:52:03.780,-28:28:29.000
388,J215806-150109,radec gaincal,21:58:06.300,-15:01:9.100
389,J220610-183539,radec gaincal,22:06:10.330,-18:35:39.000
390,J221124-132810,radec gaincal,22:11:24.180,-13:28:10.100
391,J221426-170220,radec gaincal,22:14:26.040,-17:02:20.400
392,J221811-302400,radec gaincal,22:18:11.100,-30:24:0.300
393,J221942-275626,radec gaincal,22:19:42.570,-27:56:26.100
394,J222547-045701,radec gaincal,22:25:47.280,-4:57:1.900
395,J222946-382359,radec gaincal,22:29:46.860,-38:23:58.000
396,J223236+114350,radec gaincal,22:32:36.420,+11:43:50.400
397,J223746-114543,radec gaincal,22:37:46.680,-11:45:43.700
398,J224326-254430,radec gaincal,22:43:26.380,-25:44:30.300
399,J224618-120652,radec gaincal,22:46:18.280,-12:06:52.000
400,J224703-365747,radec gaincal,22:47:03.920,-36:57:44.000
401,J225357+160853,radec gaincal,22:53:57.700,+16:08:53.400
402,J225805-275819,radec gaincal,22:58:05.950,-27:58:19.400
403,J231007-275751,radec gaincal,23:10:07.400,-27:57:51.600
404,J231622-115714,radec gaincal,23:16:22.710,-11:57:14.300
405,J231634-140905,radec gaincal,23:16:34.840,-14:09:5.800
406,J231953-365627,radec gaincal,23:19:53.530,-36:56:27.800
407,J232654-020210,radec gaincal,23:26:54.470,-2:02:10.300
408,J2329-4730,radec gaincal,23:29:17.70,-47:30:19.1
409,J232917-473019,radec gaincal,23:29:17.740,-47:30:19.200
410,J232933-192305,radec gaincal,23:29:33.740,-19:23:5.100
411,J233756-175223,radec gaincal,23:37:56.290,-17:52:23.800
412,J233859-041333,radec gaincal,23:38:59.190,-4:13:33.800
413,J234802-163112,radec gaincal,23:48:02.620,-16:31:12.600
414,J235156-010916,radec gaincal,23:51:56.210,-1:09:16.300
415,J235731-112538,radec gaincal,23:57:31.250,-11:25:38.900
416,J235753-531115,radec gaincal,23:57:53.140,-53:11:15.600
417,PKS0023-263,radec gaincal,00:25:49.16,-26:02:12.62
418,PKS0117-155,radec gaincal,01:20:27.20,-15:20:16.63
419,PKS0131-522,radec gaincal,01:33:05.763,-52:00:03.94
420,PKS0334-546,radec gaincal,03:35:53.93,-54:30:25.12
421,PKS0346-279,radec gaincal,03:48:38.00,-27:49:14
422,PKS0405-385,radec gaincal,04:06:59,-38:26:28
424,PKS0539-530,radec gaincal,05:40:25.17,-53:03:46.85
425,PKS0742-56,radec gaincal,07:43:20.48,-56:19:32.96
426,PKS0805-077,radec gaincal,08:08:15.54,-07:51:09.89
427,PKS0859-140,radec gaincal,09:02:16.83,-14:15:30.88
428,PKS1034-293,radec gaincal,10:37:16.08,-29:34:02.81
429,PKS1110-217,radec gaincal,11:12:49.85,-21:58:29.35
430,PKS1244-255,radec gaincal,12:46:46.80,-25:47:49.29
431,PKS1253-055,radec gaincal,12:56:11.17,-05:47:21.52
432,PKS1255-316,radec gaincal,12:57:59.06,-31:55:16.85
433,PKS1308-220,radec gaincal,13:11:39.3,-22:16:41.75
434,PKS1313-333,radec gaincal,13:16:07.97,-33:38:59.17
435,PKS1329-665,radec gaincal,13:32:37.53,-66:46:50.35
436,PKS1353-341,radec gaincal,13:56:05.38,-34:21:10.82
437,PKS1421-490,radec gaincal,14:24:32.24,-49:13:49.74
