0409+229,J0412+230,3C108   , , , 04:12:43.6668,  23:05:05.452, VLA_CalList
0409+188,J0412+189,        , , , 04:12:45.9442,  18:56:37.076, VLA_CalList
0411-346,J0413-345,        , , , 04:13:00.9438, -34:30:10.193, VLA_CalList
0411+341,J0414+343,        , , , 04:14:37.2557,  34:18:51.207, VLA_CalList
0412+447,J0415+448,        , , , 04:15:56.5265,  44:52:49.683, VLA_CalList
0413-210,J0416-209,        , , , 04:16:04.3597, -20:56:27.517, VLA_CalList
0414-189,J0416-188,        , , , 04:16:36.5444, -18:51:08.340, VLA_CalList
0415+379,J0418+380,        , , , 04:18:21.2770,  38:01:35.800, VLA_CalList
0415+398,J0419+399,        , , , 04:19:22.5495,  39:55:28.977, VLA_CalList
0418+532,J0422+534,        , , , 04:22:44.3987,  53:24:26.263, VLA_CalList
0420+022,J0422+023,        , , , 04:22:52.2146,   2:19:26.931, VLA_CalList
0420-014,J0423-013,        , , , 04:23:15.8007,  -1:20:33.065, VLA_CalList
0420+417,J0423+418,        , , , 04:23:56.0097,  41:50:02.712, VLA_CalList
0420+347,J0423+348,3C115   , , , 04:23:53.2410,  34:51:44.540, VLA_CalList
0421+019,J0424+020,        , , , 04:24:08.5620,   2:04:24.964, VLA_CalList
0422-380,J0424-379,        , , , 04:24:42.2437, -37:56:20.784, VLA_CalList
0422+004,J0424+006,        , , , 04:24:46.8420,   0:36:06.329, VLA_CalList
0422+178,J0425+179,        , , , 04:25:24.4626,  17:55:25.122, VLA_CalList
0423+051,J0426+053,        , , , 04:26:36.6041,   5:18:19.872, VLA_CalList
0422+578,J0426+579,        , , , 04:26:53.0900,  57:55:09.400, VLA_CalList
0423+233,J0426+234,        , , , 04:26:55.7347,  23:27:39.633, VLA_CalList
0424+414,J0427+415,        , , , 04:27:46.0455,  41:33:01.099, VLA_CalList
0425+048,J0427+049,        , , , 04:27:47.5705,   4:57:08.325, VLA_CalList
0424+328,J0428+329,        , , , 04:28:05.8087,  32:59:52.043, VLA_CalList
0426-380,J0428-379,        , , , 04:28:40.4243, -37:56:19.580, VLA_CalList
0424+670,J0429+671,        , , , 04:29:06.0217,  67:10:16.561, VLA_CalList
0427-345,J0429-344,        , , , 04:29:47.2210, -34:26:41.760, VLA_CalList
0428+205,J0431+206,        , , , 04:31:03.7620,  20:37:34.250, VLA_CalList
0429+174,J0431+175,        , , , 04:31:57.3792,  17:31:35.775, VLA_CalList
0429+415,J0432+416,3C119   , , , 04:32:36.5026,  41:38:28.448, VLA_CalList
0430+052,J0433+053,3C120   , , , 04:33:11.0955,   5:21:15.619, VLA_CalList
0434-188,J0437-187,        , , , 04:37:01.4827, -18:44:48.613, VLA_CalList
0433+295,J0437+296,3C123   , , , 04:37:04.3750,  29:40:13.820, VLA_CalList
0435+487,J0438+488,        , , , 04:38:59.1078,  48:48:46.582, VLA_CalList
0437-454,J0439-453,        , , , 04:39:00.8547, -45:22:22.562, VLA_CalList
0438-436,J0440-435,        , , , 04:40:17.1799, -43:33:08.604, VLA_CalList
0439-337,J0441-336,        , , , 04:41:33.7754, -33:40:03.721, VLA_CalList
0440-003,J0442-002,        , , , 04:42:38.6607,   0:17:43.419, VLA_CalList
0440+345,J0443+346,        , , , 04:43:31.6351,  34:41:06.664, VLA_CalList
0441+106,J0444+107,        , , , 04:44:12.4660,  10:42:47.264, VLA_CalList
0442+071,J0445+072,        , , , 04:45:01.4287,   7:15:53.914, VLA_CalList
0445-221,J0447-220,        , , , 04:47:37.2822, -22:03:36.805, VLA_CalList
0446+112,J0449+113,        , , , 04:49:07.6711,  11:21:28.596, VLA_CalList
0444+634,J0449+635,        , , , 04:49:23.3105,  63:32:09.434, VLA_CalList
0448-392,J0449-391,        , , , 04:49:42.2594, -39:11:09.056, VLA_CalList
0447+408,J0450+409,        , , , 04:50:43.6791,  40:56:13.973, VLA_CalList
0451-282,J0453-281,        , , , 04:53:14.6468, -28:07:37.327, VLA_CalList
0453-206,J0455-205,        , , , 04:55:23.6635, -20:34:14.511, VLA_CalList
0454-463,J0455-462,        , , , 04:55:50.7724, -46:15:58.682, VLA_CalList
0454+039,J0456+040,        , , , 04:56:47.1747,   4:00:52.947, VLA_CalList
0454-234,J0457-234,        , , , 04:57:03.1792, -23:24:52.020, VLA_CalList
0454+066,J0457+067,        , , , 04:57:07.7099,   6:45:07.260, VLA_CalList
0457+024,J0459+024,        , , , 04:59:52.0506,   2:29:31.176, VLA_CalList
0458-020,J0501-019,        , , , 05:01:12.8098,  -1:59:14.256, VLA_CalList
0458+138,J0501+139,        , , , 05:01:45.2708,  13:56:07.220, VLA_CalList
0459+060,J0502+061,        , , , 05:02:15.4459,   6:09:07.494, VLA_CalList
0459+135,J0502+136,        , , , 05:02:33.2195,  13:38:10.958, VLA_CalList
0459+415,J0502+416,        , , , 05:02:37.9877,  41:39:19.337, VLA_CalList
0459+252,J0502+252,3C133   , , , 05:02:58.5826,  25:16:24.242, VLA_CalList
0500+019,J0503+020,        , , , 05:03:21.1971,   2:03:04.676, VLA_CalList
0502+049,J0505+049,        , , , 05:05:23.1847,   4:59:42.724, VLA_CalList
0454+844,J0508+845,        , , , 05:08:42.3635,  84:32:04.544, VLA_CalList
