id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , Redshift , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy)
83 , 5BZBJ0823+2223 , 1Jy0820+225 , 08 23 24.7 , +22 23 03.4 , 0.951 ? , 2272 , 376
84 , 5BZQJ0217+7349 , 0212+73 , 02 17 30.8 , +73 49 32.5 , 2.367 , 2272 , 1050
85 , 5BZQJ0501-0159 , 4C-02.19 , 05 01 12.8 , -01 59 14.3 , 2.291 , 2264 , 621
86 , 5BZBJ0738+1742 , PKS0735+17 , 07 38 07.3 , +17 42 19.0 , 0.424 , 2258 , 392
87 , 5BZBJ1800+7828 , S51803+784 , 18 00 45.6 , +78 28 04.0 , 0.68 , 2223 , 1319
88 , 5BZQJ2218-0335 , 4C-03.79 , 22 18 52.0 , -03 35 36.8 , 0.901 , 2218 , 613
89 , 5BZQJ0237+2848 , 4C28.07 , 02 37 52.4 , +28 48 08.9 , 1.206 , 2197 , 1059
90 , 5BZUJ2015+3710 , TEX2013+370 , 20 15 28.7 , +37 10 59.4 , 0 , 2167 , 2363
91 , 5BZQJ1058+1951 , PKS 1055+20 , 10 58 17.8 , +19 51 50.9 , 1.116 , 2143 , 0
92 , 5BZQJ2056-4714 , PKS2052-47 , 20 56 16.3 , -47 14 47.6 , 1.491 , 2138 , 1502
93 , 5BZQJ0525-4557 , 1Jy0524-460 , 05 25 31.3 , -45 57 54.6 , 1.479 , 2126 , 0
94 , 5BZQJ0049-5738 , PKS0047-579 , 00 49 59.5 , -57 38 26.6 , 1.797 , 2111 , 0
95 , 5BZQJ0455-4615 , PKS0454-46 , 04 55 50.7 , -46 15 58.7 , 0.858 , 2100 , 1024
96 , 5BZQJ2022+6136 , S42021+61 , 20 22 06.6 , +61 36 58.7 , 0.228 , 2097 , 230
97 , 5BZQJ1224+2122 , PKS 1222+21 , 12 24 54.4 , +21 22 46.4 , 0.434 , 2095 , 1055
98 , 5BZBJ0006-0623 , PKS0003-066 , 00 06 13.8 , -06 23 35.1 , 0.347 , 2051 , 1212
99 , 5BZBJ1517-2422 , APLIB , 15 17 41.8 , -24 22 19.4 , 0.048 , 2042 , 1609
100 , 5BZQJ1159+2914 , 4C29.45 , 11 59 31.8 , +29 14 43.7 , 0.729 , 2031 , 1268
101 , 5BZUJ0713+4349 , 1Jy0710+439 , 07 13 38.1 , +43 49 17.0 , 0.518 , 2012 , 0
102 , 5BZQJ0836-2016 , PKS0834-20 , 08 36 39.2 , -20 16 59.5 , 2.752 , 1971 , 0
103 , 5BZQJ0739+0137 , PKS0736+01 , 07 39 18.0 , +01 37 04.5 , 0.189 , 1964 , 1268
104 , 5BZQJ2147-7536 , PKS 2142-75 , 21 47 12.7 , -75 36 13.2 , 1.138 , 1952 , 2117
105 , 5BZBJ0238+1636 , PKS0235+164 , 02 38 38.9 , +16 36 59.2 , 0.94 , 1941 , 1136
106 , 5BZQJ0607-0834 , OH-10 , 06 07 59.7 , -08 34 50.0 , 0.87 , 1905 , 1239
107 , 5BZBJ1806+6949 , 3C371 , 18 06 50.6 , +69 49 28.0 , 0.046 , 1886 , 0
108 , 5BZQJ2246-1206 , PKS2243-123 , 22 46 18.2 , -12 06 51.3 , 0.632 , 1882 , 951
109 , 5BZQJ2354+4553 , 4C45.51 , 23 54 21.6 , +45 53 04.2 , 1.992 , 1872 , 421
110 , 5BZQJ2225+2118 , 1Jy2223+210 , 22 25 38.0 , +21 18 06.4 , 1.959 , 1838 , 1096
111 , 5BZUJ1941-6211 , 1Jy1936-623 , 19 41 21.7 , -62 11 21.0 , 0 , 1831 , 0
112 , 5BZUJ1546+0026 , PKS1543+005 , 15 46 09.5 , +00 26 24.6 , 0.558 , 1830 , 0
113 , 5BZQJ2109-4110 , PKS2106-413 , 21 09 33.1 , -41 10 20.6 , 1.058 , 1823 , 410
114 , 5BZQJ2357-1125 , PKS 2354-11 , 23 57 31.1 , -11 25 39.2 , 0.96 , 1814 , 0
115 , 5BZQJ2346+0930 , 4C09.74 , 23 46 36.8 , +09 30 45.5 , 0.677 , 1804 , 0
116 , 5BZBJ1147-3812 , PKS1144-379 , 11 47 01.3 , -38 12 11.0 , 1.048 ? , 1804 , 1387
117 , 5BZQJ0157+7442 , S5 0153+74 , 01 57 34.9 , +74 42 43.2 , 2.341 , 1801 , 0
118 , 5BZQJ0506-6109 , PKS0506-61 , 05 06 43.9 , -61 09 41.0 , 1.093 , 1800 , 514
119 , 5BZQJ2207-5346 , PKS2204-54 , 22 07 43.7 , -53 46 33.8 , 1.215 , 1799 , 426
120 , 5BZQJ0116-1136 , PKS0113-118 , 01 16 12.5 , -11 36 15.4 , 0.671 , 1785 , 919
121 , 5BZQJ1504+1029 , PKS1502+106 , 15 04 24.9 , +10 29 39.1 , 1.839 , 1774 , 630
122 , 5BZQJ0442-0017 , PKS0440-00 , 04 42 38.6 , -00 17 43.4 , 0.845 , 1773 , 724
123 , 5BZQJ2131-1207 , PKS2128-12 , 21 31 35.2 , -12 07 04.8 , 0.499 , 1770 , 574
124 , 5BZBJ0423+4150 , 4C+41.11 , 04 23 56.0 , +41 50 02.6 , 0 , 1756 , 0
125 , 5BZQJ0903+4651 , S40859+470 , 09 03 03.9 , +46 51 04.1 , 1.462 , 1755 , 0
126 , 5BZQJ0457-2324 , PKS0454-234 , 04 57 03.1 , -23 24 51.9 , 1.003 , 1727 , 1276
127 , 5BZQJ1642+6856 , 4C69.21 , 16 42 07.8 , +68 56 39.8 , 0.751 , 1720 , 1255
128 , 5BZUJ0110+6805 , GB6B0106+6749 , 01 10 12.8 , +68 05 41.2 , 0 , 1715 , 0
129 , 5BZUJ0221+3556 , 1Jy0218+357 , 02 21 05.4 , +35 56 13.7 , 0.944 , 1707 , 492
130 , 5BZBJ2134-0153 , 4C-02.81 , 21 34 10.3 , -01 53 17.1 , 1.283 , 1691 , 1311
131 , 5BZUJ1310+3220 , 1Jy1308+326 , 13 10 28.6 , +32 20 43.8 , 0.997 , 1687 , 1303
132 , 5BZQJ1625+4134 , S41624+416 , 16 25 57.6 , +41 34 40.5 , 2.55 , 1678 , 0
133 , 5BZQJ0242+1101 , PKS 0239+108 , 02 42 29.1 , +11 01 00.6 , 2.68 , 1664 , 318
134 , 5BZQJ1205-2634 , PKS 1203-26 , 12 05 33.2 , -26 34 04.5 , 0.789 , 1654 , 0
135 , 5BZQJ1232-0224 , PKS 1229-02 , 12 32 00.0 , -02 24 05.2 , 1.043 , 1648 , 339
136 , 5BZQJ0948+4039 , 4C40.24 , 09 48 55.3 , +40 39 44.6 , 1.249 , 1600 , 685
137 , 5BZQJ0808-0751 , PKS0805-07 , 08 08 15.5 , -07 51 09.9 , 1.837 , 1595 , 0
138 , 5BZQJ1955+5131 , S41954+513 , 19 55 42.7 , +51 31 48.5 , 1.214 , 1588 , 427
139 , 5BZQJ1153+4931 , 4C49.22 , 11 53 24.4 , +49 31 08.7 , 0.334 , 1572 , 1161
140 , 5BZQJ0231+1322 , 4C13.14 , 02 31 45.8 , +13 22 54.6 , 2.065 , 1560 , 324
141 , 5BZBJ1653+3945 , MKR501 , 16 53 52.2 , +39 45 36.6 , 0.033 , 1558 , 553
142 , 5BZQJ0530+1331 , PKS 0528+134 , 05 30 56.4 , +13 31 55.0 , 2.07 , 1556 , 516
143 , 5BZQJ0228+6721 , 4C+67.05 , 02 28 50.0 , +67 21 02.9 , 0.523 , 1540 , 1095
144 , 5BZQJ0125-0005 , PKS0122-00 , 01 25 28.8 , -00 05 55.8 , 1.077 , 1540 , 0
145 , 5BZBJ1603-4904 , CC 332+02.6 , 16 03 50.6 , -49 04 05.4 , 0 , 1540 , 0
146 , 5BZQJ1658+0515 , 1Jy1656+053 , 16 58 33.4 , +05 15 16.4 , 0.879 , 1534 , 0
147 , 5BZQJ2126-4605 , PKS 2123-463 , 21 26 30.7 , -46 05 47.9 , 1.67 ? , 1520 , 442
148 , 5BZQJ1239-1023 , PKS 1237-10 , 12 39 43.0 , -10 23 28.7 , 0.751 , 1519 , 0
149 , 5BZQJ0555+3948 , B20552+39A , 05 55 30.8 , +39 48 49.2 , 2.365 ? , 1517 , 719
150 , 5BZBJ0854+2006 , PKS0851+202 , 08 54 48.8 , +20 06 30.8 , 0.306 , 1512 , 0
151 , 5BZQJ1215+3448 , S41213+350 , 12 15 55.6 , +34 48 15.1 , 0.857 , 1507 , 295
152 , 5BZQJ0246-4651 , PKS 0244-470 , 02 46 00.1 , -46 51 17.2 , 1.385 , 1498 , 569
153 , 5BZQJ1957-3845 , PKS1954-388 , 19 57 59.8 , -38 45 06.4 , 0.63 , 1494 , 990
154 , 5BZQJ1357-1744 , PKS 1354-174 , 13 57 06.0 , -17 44 01.8 , 3.147 , 1489 , 0
155 , 5BZQJ0824+3916 , 4C+39.23 , 08 24 55.4 , +39 16 41.9 , 1.216 , 1481 , 583
156 , 5BZQJ2330-4539 , PKS 2327-459 , 23 30 37.6 , -45 39 58.1 , 0.447 , 1476 , 0
157 , 5BZQJ0900-2808 , PKS 0858-279 , 09 00 40.0 , -28 08 20.2 , 2.16 , 1474 , 0
158 , 5BZQJ0515-4556 , 1Jy0514-459 , 05 15 45.2 , -45 56 43.2 , 0.194 , 1471 , 521
159 , 5BZQJ0714+3534 , OI 318 , 07 14 24.8 , +35 34 39.7 , 1.62 , 1467 , 0
160 , 5BZQJ0750+1231 , PKS0748+126 , 07 50 52.0 , +12 31 04.8 , 0.889 , 1453 , 2038
161 , 5BZQJ0824+5552 , OJ 535 , 08 24 47.2 , +55 52 42.8 , 1.417 , 1449 , 263
162 , 5BZQJ1146-2447 , PKS 1143-245 , 11 46 08.0 , -24 47 32.8 , 1.94 , 1434 , 0
163 , 5BZQJ2254+1341 , PKS 2251+13 , 22 54 21.0 , +13 41 48.6 , 0.677 ? , 1424 , 594
164 , 5BZQJ1949-1957 , PKS 1946-200 , 19 49 53.4 , -19 57 13.2 , 2.652 , 1416 , 0
165 , 5BZQJ1658+0741 , PKS1655+077 , 16 58 09.0 , +07 41 27.4 , 0.621 , 1413 , 772
166 , 5BZBJ1824+5651 , 4C56.27 , 18 24 07.0 , +56 51 01.5 , 0.663 , 1412 , 902
167 , 5BZQJ2357-5311 , PKS2355-534 , 23 57 53.2 , -53 11 13.7 , 1.006 , 1411 , 894
168 , 5BZQJ1743-0350 , 1Jy1741-038 , 17 43 58.8 , -03 50 04.5 , 1.057 , 1411 , 1354
