#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref,LFVref,etc
1704+608, 3C351,, 0.3710,,,,Herbig Readhead
1709+460, 3C352,, 0.8057,,,,Herbig Readhead
1723+510, 3C356,, 1.0790,,,,Herbig Readhead
1726+318, 3C357,, 0.1670,,,,Herbig Readhead
1732+160, 4C16.49,, 1.2960,,,,Herbig Readhead
1739+522, 4C51.37,, 1.3750,,,,Herbig Readhead
1749+701, 1749+701,, 0.70,,,,Herbig Readhead
1759+137, 4C13.66,, 1.00,,,,Herbig Readhead
1802+110, 3C368,, 1.1320,,,,Herbig Readhead
1803+784, 1803+784,, 0.6800,,,,Herbig Readhead
1807+698, 3C371,, 0.0500,,,,Herbig Readhead
1819+396, 4C39.56,, 0.40,,,,Herbig Readhead
1823+568, 4C56.27,, 0.6640,,,,Herbig Readhead
1828+487, 3C380,, 0.6920,,,,Herbig Readhead
1829+290, 4C29.56,, 2.5100,,,,Herbig Readhead
1832+474, 3C381,, 0.1605,,,,Herbig Readhead
1833+326, 3C382,, 0.0578,,,,Herbig Readhead
1836+171, 3C386,, 0.0170,,,,Herbig Readhead
1842+455, 3C388,, 0.0908,,,,Herbig Readhead
1845+797, 3C390.3,, 0.0569,,,,Herbig Readhead
1928+738, 4C73.18,, 0.3020,,,,Herbig Readhead
1939+605, 3C401,, 0.2010,,,,Herbig Readhead
1954+513, OV591,, 1.2200,,,,Herbig Readhead
2021+614, OW637,, 0.2266,,,,Herbig Readhead
2104+763, 3C427.1,, 0.5720,,,,Herbig Readhead
2120+168, 3C432,, 1.8050,,,,Herbig Readhead
2121+248, 3C433,, 0.1016,,,,Herbig Readhead
2141+279, 3C436,, 0.2145,,,,Herbig Readhead
2145+151, 3C437,, 1.4600,,,,Herbig Readhead
2153+377, 3C438,, 0.2920,,,,Herbig Readhead
2200+420, BLLac,, 0.0700,,,,Herbig Readhead
2203+292, 3C441,, 0.7070,,,,Herbig Readhead
2212+135, 3C442A,, 0.0263,,,,Herbig Readhead
2229+391, 3C449,, 0.0171,,,,Herbig Readhead
2230+114, 4C11.69,, 1.0370,,,,Herbig Readhead
2243+394, 3C452,, 0.0811,,,,Herbig Readhead
2247+113, NGC7385,, 0.0243,,,,Herbig Readhead
2247+140, 4C14.82,, 0.2370,,,,Herbig Readhead
2249+185, 3C454,, 1.7570,,,,Herbig Readhead
2251+158, 3C454.3,, 0.8600,,,,Herbig Readhead
2252+129, 3C455,, 0.5427,,,,Herbig Readhead
2309+184, 3C457,, 0.4270,,,,Herbig Readhead
2324+405, 3C462,, 0.60,,,,Herbig Readhead
2335+267, 3C465,, 0.0293,,,,Herbig Readhead
2342+821, 2342+821,, 0.7350,,,,Herbig Readhead
2351+456, 4C45.51,, 2.0000,,,,Herbig Readhead
2352+495, OZ488,, 0.2370,,,,Herbig Readhead
2352+796, 3C469.1,, 1.3360,,,,Herbig Readhead
2356+438, 3C470,, 1.6530,,,,Herbig Readhead
